danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.489,0.917,8,-4.097,1,0.132,0.00891,0.0,0.184,0.772,167.57,audio_features,3MN0pucJbbFmqgvPcoC1Eb,spotify:track:3MN0pucJbbFmqgvPcoC1Eb,https://api.spotify.com/v1/tracks/3MN0pucJbbFmqgvPcoC1Eb,https://api.spotify.com/v1/audio-analysis/3MN0pucJbbFmqgvPcoC1Eb,190560,4
0.697,0.894,2,-4.891,1,0.0599,0.0543,0.0,0.631,0.795,124.016,audio_features,32HwMdkZuUmHg9uznhs9xM,spotify:track:32HwMdkZuUmHg9uznhs9xM,https://api.spotify.com/v1/tracks/32HwMdkZuUmHg9uznhs9xM,https://api.spotify.com/v1/audio-analysis/32HwMdkZuUmHg9uznhs9xM,184307,4
0.658,0.801,11,-4.124,1,0.0334,0.00727,0.0,0.0448,0.879,124.008,audio_features,4SRYGZsbHrmH7E9xMVz4Wm,spotify:track:4SRYGZsbHrmH7E9xMVz4Wm,https://api.spotify.com/v1/tracks/4SRYGZsbHrmH7E9xMVz4Wm,https://api.spotify.com/v1/audio-analysis/4SRYGZsbHrmH7E9xMVz4Wm,211627,4
0.614,0.984,1,-2.419,0,0.0773,0.0118,0.0,0.65,0.776,142.002,audio_features,1fZvvlfjgoqjz7HQKEfzyp,spotify:track:1fZvvlfjgoqjz7HQKEfzyp,https://api.spotify.com/v1/tracks/1fZvvlfjgoqjz7HQKEfzyp,https://api.spotify.com/v1/audio-analysis/1fZvvlfjgoqjz7HQKEfzyp,182133,4
0.672,0.388,0,-8.009,1,0.0315,0.54,0.0,0.223,0.552,113.051,audio_features,5lgqMorcT2crsPWiYlgec1,spotify:track:5lgqMorcT2crsPWiYlgec1,https://api.spotify.com/v1/tracks/5lgqMorcT2crsPWiYlgec1,https://api.spotify.com/v1/audio-analysis/5lgqMorcT2crsPWiYlgec1,180067,4
0.643,0.852,11,-3.763,1,0.0427,0.0112,0.0,0.0749,0.863,134.024,audio_features,7gY8FAYu5zuOzmPBlOec3L,spotify:track:7gY8FAYu5zuOzmPBlOec3L,https://api.spotify.com/v1/tracks/7gY8FAYu5zuOzmPBlOec3L,https://api.spotify.com/v1/audio-analysis/7gY8FAYu5zuOzmPBlOec3L,184000,4
0.536,0.488,7,-8.938,1,0.0244,0.0346,0.0,0.113,0.263,87.986,audio_features,7y2SafCBiLoQVBDVZHaVOK,spotify:track:7y2SafCBiLoQVBDVZHaVOK,https://api.spotify.com/v1/tracks/7y2SafCBiLoQVBDVZHaVOK,https://api.spotify.com/v1/audio-analysis/7y2SafCBiLoQVBDVZHaVOK,236853,4
0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,5T7ZFtCcOgkpjxcuaeZbw0,spotify:track:5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/tracks/5T7ZFtCcOgkpjxcuaeZbw0,https://api.spotify.com/v1/audio-analysis/5T7ZFtCcOgkpjxcuaeZbw0,200107,4
0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,audio_features,4nVBt6MZDDP6tRVdQTgxJg,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg,245493,4
0.549,0.868,2,-4.319,1,0.0614,0.0604,0.0,0.137,0.755,171.96,audio_features,6twW4ma6w0mOeejejPK0nY,spotify:track:6twW4ma6w0mOeejejPK0nY,https://api.spotify.com/v1/tracks/6twW4ma6w0mOeejejPK0nY,https://api.spotify.com/v1/audio-analysis/6twW4ma6w0mOeejejPK0nY,184667,4
0.432,0.868,6,-2.01,0,0.0882,0.00725,0.0,0.233,0.567,156.128,audio_features,5wjmqUGN7vrAqFqDWrywlZ,spotify:track:5wjmqUGN7vrAqFqDWrywlZ,https://api.spotify.com/v1/tracks/5wjmqUGN7vrAqFqDWrywlZ,https://api.spotify.com/v1/audio-analysis/5wjmqUGN7vrAqFqDWrywlZ,176320,4
0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,audio_features,2afCBiru10AFckfOa49wIa,spotify:track:2afCBiru10AFckfOa49wIa,https://api.spotify.com/v1/tracks/2afCBiru10AFckfOa49wIa,https://api.spotify.com/v1/audio-analysis/2afCBiru10AFckfOa49wIa,237933,4
0.54,0.711,7,-5.717,1,0.0255,0.103,0.0,0.0827,0.292,92.014,audio_features,3yhVmOZSpZqnhRrEiYI0EJ,spotify:track:3yhVmOZSpZqnhRrEiYI0EJ,https://api.spotify.com/v1/tracks/3yhVmOZSpZqnhRrEiYI0EJ,https://api.spotify.com/v1/audio-analysis/3yhVmOZSpZqnhRrEiYI0EJ,241000,4
0.741,0.663,0,-7.308,1,0.0434,0.0608,0.0,0.0931,0.338,115.013,audio_features,3cKM7UXBZmgjEgEBTkaIlU,spotify:track:3cKM7UXBZmgjEgEBTkaIlU,https://api.spotify.com/v1/tracks/3cKM7UXBZmgjEgEBTkaIlU,https://api.spotify.com/v1/audio-analysis/3cKM7UXBZmgjEgEBTkaIlU,184373,4
0.623,0.89,9,-4.783,1,0.0394,0.0426,0.0,0.153,0.824,117.0,audio_features,5Lf9rCqReE9Ri4tZvLRLuy,spotify:track:5Lf9rCqReE9Ri4tZvLRLuy,https://api.spotify.com/v1/tracks/5Lf9rCqReE9Ri4tZvLRLuy,https://api.spotify.com/v1/audio-analysis/5Lf9rCqReE9Ri4tZvLRLuy,175480,4
0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,audio_features,1dQQ2QlnvXUehsRUrukKmf,spotify:track:1dQQ2QlnvXUehsRUrukKmf,https://api.spotify.com/v1/tracks/1dQQ2QlnvXUehsRUrukKmf,https://api.spotify.com/v1/audio-analysis/1dQQ2QlnvXUehsRUrukKmf,200400,4
0.63,0.881,4,-3.506,1,0.0433,0.000467,0.0,0.0405,0.54,121.468,audio_features,4lxaurdMyGkt1tOrdwRoVO,spotify:track:4lxaurdMyGkt1tOrdwRoVO,https://api.spotify.com/v1/tracks/4lxaurdMyGkt1tOrdwRoVO,https://api.spotify.com/v1/audio-analysis/4lxaurdMyGkt1tOrdwRoVO,157653,4
0.568,0.691,9,-5.225,1,0.0306,0.188,0.0,0.0861,0.396,131.007,audio_features,1a0PcmEJAOEp4ZT3YtSLkM,spotify:track:1a0PcmEJAOEp4ZT3YtSLkM,https://api.spotify.com/v1/tracks/1a0PcmEJAOEp4ZT3YtSLkM,https://api.spotify.com/v1/audio-analysis/1a0PcmEJAOEp4ZT3YtSLkM,221733,4
0.547,0.649,2,-5.039,1,0.0298,0.00793,0.0,0.201,0.361,114.019,audio_features,2Jfsw01CDT5XetSFROs9v5,spotify:track:2Jfsw01CDT5XetSFROs9v5,https://api.spotify.com/v1/tracks/2Jfsw01CDT5XetSFROs9v5,https://api.spotify.com/v1/audio-analysis/2Jfsw01CDT5XetSFROs9v5,236520,4
0.591,0.899,0,-3.768,1,0.0536,0.00726,0.0,0.393,0.446,139.547,audio_features,0O6VeBiFCwHrpVURJSsGsU,spotify:track:0O6VeBiFCwHrpVURJSsGsU,https://api.spotify.com/v1/tracks/0O6VeBiFCwHrpVURJSsGsU,https://api.spotify.com/v1/audio-analysis/0O6VeBiFCwHrpVURJSsGsU,197920,4
0.627,0.839,11,-5.589,0,0.0508,0.114,0.0,0.534,0.79,157.993,audio_features,4qG3Um3jXlQnaQV1yVo3it,spotify:track:4qG3Um3jXlQnaQV1yVo3it,https://api.spotify.com/v1/tracks/4qG3Um3jXlQnaQV1yVo3it,https://api.spotify.com/v1/audio-analysis/4qG3Um3jXlQnaQV1yVo3it,208667,4
0.523,0.939,8,-3.311,1,0.0454,0.000754,0.0,0.0406,0.788,160.019,audio_features,2pFEbA6GdNxBOMn9Egvowm,spotify:track:2pFEbA6GdNxBOMn9Egvowm,https://api.spotify.com/v1/tracks/2pFEbA6GdNxBOMn9Egvowm,https://api.spotify.com/v1/audio-analysis/2pFEbA6GdNxBOMn9Egvowm,174360,4
0.675,0.874,3,-4.268,1,0.0494,0.085,0.0,0.0573,0.673,139.021,audio_features,3aGJClg6klBoSa0UZnXeMM,spotify:track:3aGJClg6klBoSa0UZnXeMM,https://api.spotify.com/v1/tracks/3aGJClg6klBoSa0UZnXeMM,https://api.spotify.com/v1/audio-analysis/3aGJClg6klBoSa0UZnXeMM,179413,4
0.6,0.895,1,-5.807,1,0.0468,0.001,0.0,0.145,0.383,129.987,audio_features,31tjImR06JCJswXViIvFuk,spotify:track:31tjImR06JCJswXViIvFuk,https://api.spotify.com/v1/tracks/31tjImR06JCJswXViIvFuk,https://api.spotify.com/v1/audio-analysis/31tjImR06JCJswXViIvFuk,161333,4
0.515,0.714,0,-4.516,1,0.0348,0.286,0.0,0.118,0.495,155.954,audio_features,6nIE1oCE4udqMGv3bqVNVb,spotify:track:6nIE1oCE4udqMGv3bqVNVb,https://api.spotify.com/v1/tracks/6nIE1oCE4udqMGv3bqVNVb,https://api.spotify.com/v1/audio-analysis/6nIE1oCE4udqMGv3bqVNVb,188547,4
0.524,0.885,8,-2.952,1,0.0364,0.02,0.0,0.116,0.353,92.197,audio_features,4fLTtg48X0QtKrj0Jv8I3v,spotify:track:4fLTtg48X0QtKrj0Jv8I3v,https://api.spotify.com/v1/tracks/4fLTtg48X0QtKrj0Jv8I3v,https://api.spotify.com/v1/audio-analysis/4fLTtg48X0QtKrj0Jv8I3v,240000,4
0.731,0.703,0,-5.672,0,0.0368,0.111,0.0,0.0657,0.595,138.111,audio_features,2K87XMYnUMqLcX3zvtAF4G,spotify:track:2K87XMYnUMqLcX3zvtAF4G,https://api.spotify.com/v1/tracks/2K87XMYnUMqLcX3zvtAF4G,https://api.spotify.com/v1/audio-analysis/2K87XMYnUMqLcX3zvtAF4G,192120,4
0.648,0.822,11,-5.231,0,0.0749,0.0598,0.0,0.119,0.397,99.933,audio_features,3NLnwwAQbbFKcEcV8hDItk,spotify:track:3NLnwwAQbbFKcEcV8hDItk,https://api.spotify.com/v1/tracks/3NLnwwAQbbFKcEcV8hDItk,https://api.spotify.com/v1/audio-analysis/3NLnwwAQbbFKcEcV8hDItk,230333,4
